user_id,group,flight_route,device_type,time_on_page,booked
0,control,CDG-SIN,mobile,67.29050056999256,0
1,treatment,CDG-SIN,mobile,58.37878099371519,0
2,control,CDG-SIN,mobile,46.00004187856029,0
3,control,LHR-DXB,mobile,67.43506764603326,0
4,control,CDG-SIN,mobile,44.82017410828886,0
5,treatment,AMS-JFK,mobile,65.5257869762294,0
6,control,CDG-SIN,desktop,50.6707403868717,0
7,control,AMS-JFK,desktop,39.341753054595195,0
8,control,CDG-SIN,desktop,49.80402007395318,1
9,treatment,CDG-SIN,desktop,45.511554448308566,0
10,control,AMS-JFK,desktop,38.36225075771639,0
11,control,CDG-SIN,mobile,48.49478730166551,0
12,control,CDG-SIN,mobile,51.05530057761412,0
13,control,CDG-SIN,mobile,8.181976397709768,0
14,treatment,LHR-DXB,mobile,52.52045378153337,0
15,control,AMS-JFK,desktop,56.11657195037617,0
16,treatment,CDG-SIN,desktop,66.77468613595349,0
17,treatment,AMS-JFK,mobile,26.45999066068664,0
18,treatment,AMS-JFK,mobile,29.737440511694267,0
19,control,AMS-JFK,desktop,48.139097464512645,0
20,treatment,CDG-SIN,desktop,34.30611077126128,0
21,control,CDG-SIN,desktop,27.153618827938267,0
22,treatment,AMS-JFK,mobile,38.79891546932371,0
23,treatment,LHR-DXB,mobile,39.6026984444568,0
24,treatment,AMS-JFK,desktop,29.765255628081704,0
25,treatment,LHR-DXB,desktop,29.66519297729421,0
26,treatment,AMS-JFK,mobile,43.18021819785753,0
27,treatment,AMS-JFK,mobile,23.270586112655984,0
28,treatment,AMS-JFK,mobile,23.029231814737628,0
29,treatment,CDG-SIN,mobile,46.07263277468181,0
30,control,LHR-DXB,desktop,67.58464760381968,0
31,control,LHR-DXB,desktop,55.99562002318372,0
32,treatment,AMS-JFK,desktop,63.33927960788223,0
33,treatment,CDG-SIN,mobile,17.92409602297378,0
34,treatment,CDG-SIN,mobile,23.870988525108544,0
35,control,LHR-DXB,mobile,45.15975275009585,0
36,treatment,CDG-SIN,desktop,57.54333053434326,0
37,control,LHR-DXB,desktop,54.57065808745046,0
38,control,LHR-DXB,desktop,24.83752296629188,0
39,control,LHR-DXB,mobile,62.03560537464689,0
40,control,CDG-SIN,mobile,43.77976932133218,0
41,control,LHR-DXB,desktop,56.66591598543781,0
42,treatment,LHR-DXB,mobile,35.92383663705267,0
43,treatment,AMS-JFK,desktop,21.843934690198086,0
44,treatment,LHR-DXB,desktop,57.68767732089791,0
45,treatment,LHR-DXB,desktop,52.044703287004864,1
46,treatment,AMS-JFK,desktop,26.315634756205338,0
47,control,AMS-JFK,mobile,34.97740924212668,0
48,treatment,CDG-SIN,mobile,55.29130689171295,0
49,treatment,LHR-DXB,mobile,48.090534121596114,0
50,control,CDG-SIN,mobile,52.525382569652194,1
51,treatment,CDG-SIN,mobile,37.134699161888946,0
52,control,AMS-JFK,mobile,66.34690372652369,0
53,treatment,CDG-SIN,desktop,43.33274324753427,0
54,control,LHR-DXB,mobile,9.488134304437175,0
55,treatment,AMS-JFK,mobile,46.6040840983263,0
56,treatment,LHR-DXB,mobile,54.074140907543125,0
57,control,LHR-DXB,desktop,49.45615059752367,0
58,control,AMS-JFK,mobile,38.600458431698165,0
59,control,LHR-DXB,desktop,15.694219926584008,0
60,control,AMS-JFK,mobile,35.250407969790736,1
61,control,LHR-DXB,mobile,36.66673292422586,0
62,control,AMS-JFK,mobile,35.112134989580824,0
63,control,CDG-SIN,desktop,54.17945481611392,0
64,control,LHR-DXB,desktop,39.99865434898776,0
65,treatment,AMS-JFK,mobile,65.72512658353641,0
66,treatment,LHR-DXB,mobile,41.616603829583646,0
67,control,LHR-DXB,mobile,63.238262822003946,1
68,treatment,LHR-DXB,desktop,48.216974991506056,0
69,treatment,AMS-JFK,desktop,48.957178429948534,0
70,treatment,CDG-SIN,mobile,34.757026617513375,0
71,treatment,CDG-SIN,desktop,24.740493623114876,0
72,control,CDG-SIN,desktop,43.9000986868489,0
73,treatment,AMS-JFK,desktop,70.30270027878247,0
74,control,CDG-SIN,desktop,38.11954377886978,0
75,treatment,AMS-JFK,mobile,35.73944396448818,0
76,treatment,LHR-DXB,mobile,42.42120255664383,0
77,treatment,LHR-DXB,desktop,71.52281916064216,0
78,control,CDG-SIN,desktop,56.804054485913746,0
79,treatment,AMS-JFK,desktop,63.213943893117424,0
80,control,LHR-DXB,mobile,15.294912078718134,0
81,treatment,AMS-JFK,mobile,32.63054176216653,0
